text,option_a,option_b,option_c,option_d,correct_option,instructions,difficulty_level,question_type,score_obtainable
Risk can be best defined as _______,A guaranteed profit in a business venture,The certainty of achiving business success,The possibility of loss or failure when making a decision,The avoidance of all business chanlleges ,C,Answer all Questions,easy,objective,1
The following are characteristics of an entrepreneur except:,Creativity and innovation ,Risk-taking ability ,Dependence on others for decisions ,Visionary thinking ,C,Answer all Questions,easy,objective,1
The following are types of entrepreneurs except:,Passive entrepreneurs ,Imitative entrepreneurs ,Portfolio entrepreneurs ,Entrepreneurs from business families,A,Answer all Questions,easy,objective,1
Indispensable factors to consider in starting a business include all except:,Availability of capital ,Market research and analysis ,Knowledgeable and expertise ,Ignoring competition,D,Answer all Questions,easy,objective,1
Causes of business failure include all except:,Poor financial management ,Lack of market research ,Strong customer loyalty ,Inappropriate business location ,C,Answer all Questions,easy,objective,1
"_______ are given the resources they need, while ________ find their own resources in an organization ",Intrapreneurs and entrepreneurs ,Supervisors and innovators ,Employees and leaders ,Intrapreneurs and supervisors ,A,Answer all Questions,easy,objective,1
A driver of innovation and a skilled problem solver within an organization is called:,Entrepreneur ,Intrapreneur ,Manager ,Supervisor,B,Answer all Questions,easy,objective,1
The word “Intra” means:,Between ,Within ,Outside ,Across,B,Answer all Questions,easy,objective,1
The number two point under the six differences between an entrepreneur and intrapreneur is:,Motive ,Rewards ,Status ,Risk-bearing,C,Answer all Questions,easy,objective,1
The five “Ms” in management and production include:,"Marketing, machinery, men, materials and management","Money, machines, management, marketing and measurement ","Money, men, material, methods and machine ","Materials, machines, methods, money and marketing",C,Answer all Questions,easy,objective,1
The full meaning “SWOT” is:,"Strengths, weaknesses, opportunities, and threats ","Strengths, weaknesses, objectives, and targets ","Strategy, work, opportunities, and time ","Success, weaknesses, opportunities, and threats.",A,Answer all Questions,easy,objective,1
The full meaning of GDP is:,Gross domestic product ,General domestic production ,Gross domestic pricing ,General development potential,A,Answer all Questions,easy,objective,1
Innovation is defined as _________,The process of starting a new business without any new idea,The act of copying an existing business exactly as it is,"The introduction of new ideas, products or methods that create value",The ability to manage money effectively,C,Answer all Questions,easy,objective,1
"In a typical community setting, who learns essential vocational skills:",Youth and elders,Men and women,Boys and girls,Children and teenagers,C,Answer all Questions,easy,objective,1
Which of the following is NOT an advantage of entrepreneurship to an individual:,Entrepreneurship guarantees a risk-free and stable income,It provides self-employment to an individual,It provides unlimited income to an individual,"Freedom to use to use own idea, innovation and creativity",A,Answer all Questions,easy,objective,1
What is necessary for the operation of a business venture:,Weather conditions,Essential resources,Luxury goods,Luck,B,Answer all Questions,easy,objective,1
The word “intra” is derived from a _________ word,Greek,Latin,French,German,B,Answer all Questions,easy,objective,1
Characteristics of an entrepreneur include all except:,Creativity,Risk taking,Lack of initiative,perseverance,C,Answer all Questions,easy,objective,1
one of the following is NOT among the 7 steps in becoming an entrepreneur:,Build your skill set and knowledge base,Build your network,Secure funding ,Avoid taking risks,D,Answer all Questions,easy,objective,1
The following are strategies to avert business failure except:,Market research,Right location,Ignoring customer feedback,Maintaining proper financial records,C,Answer all Questions,easy,objective,1
The number four point under the six differences between an entrepreneur and intrapreneur is:,Motive,Rewards,Status,Risk bearing ,B,Answer all Questions,easy,objective,1
"The abilities, techniques, and competencies required to start, manage and grow a successful business is called:",Entrepreneurial skills ,Managerial skills,Business acumen,Leadership skills,A,Answer all Questions,easy,objective,1
Skills can be categorized into:,Generic and vocational skills,Natural and acquired skills,Physical and mental skills,Professional and amateur skills,A,Answer all Questions,easy,objective,1
Transferable skills include all except:,Communication skills,Critical thinking skills,Leadership and teamwork skills,Technical skills,D,Answer all Questions,easy,objective,1
Generic skills are also knowns as:,Transferable skills,Hard skills,Professional skills,Technical skills,A,Answer all Questions,easy,objective,1
Communication skills is a type of ___________ skills,Technical skills,Generic skills,Hard skills,Analytical skills,B,Answer all Questions,easy,objective,1
"The skills that can be applied in different occupations, jobs, industries and life situations is called:",Transferable skills,Hard skills,Technical skills,Job-specific skills,A,Answer all Questions,easy,objective,1
The skills or abilities that are specific to a particular occupation or required to work within an occupation is called:,Generic skills,Soft skills,Transferable skills,Vocational skills,D,Answer all Questions,easy,objective,1
Technical skills include all except:,Tailoring,Communication,Carpentry,plumbing,B,Answer all Questions,easy,objective,1
Technical skills are also known as:,Vocational skills,Generic skills,Soft skills,Transferable skills,A,Answer all Questions,easy,objective,1
"Shoemaking, hairdressing, and tailoring are all types of _________ skills",Vocational skills,Soft skills,Generic skills,Transferable skills,A,Answer all Questions,easy,objective,1
Who primarily bears the financial risk in a business venture,"The intrapreneur, because they work inside the company","The entrepreneur, because they own and invest in the business",Both bear equal financial risk at all times,The government bears the risk for both,B,Answer all Questions,easy,objective,1
Who is primarily motivated to establish a new venture in order to achieve personal goals such as finacial success or profit,An Entrepreneur,An Intrapreneur,A manager ,A Government Regulator,A,Answer all Questions,easy,objective,1
Leadership skills is a type of ________ skills,Generic skills,Vocational skills,Hard skills,Technical skills,A,Answer all Questions,easy,objective,1
A good customer care service should not only focus on being friendly but should also:,Concentrate more on the quality of the service delivered to customers,Ensure prompt and efficient resolution of customers issues,Actively listen to customer feedback and make necessary improvements,All of the above,D,Answer all Questions,easy,objective,1
"If an entrepreneur wants to manage his time effectively, he should:",Set realistic goals,Minimize distractions,Stay focused on the end goal,All of the above,D,Answer all Questions,easy,objective,1
Family business does all except:,Job creation,Income generation,Skill acquisition,Discriminate against women ,D,Answer all Questions,easy,objective,1
Which of the following is NOT a basic aspect of entrepreneurship:,Wealth creation process,"Devotion of time, efforts and resources",Risk taking attitude,Pleasure seeking,D,Answer all Questions,easy,objective,1
Why are entrepreneurial skills important:,They create employment opportunities,"They enhance one’s capacity to work efficiently alone, as well as in collaboration",They foster creativity and effective problem-solving ,All of the above,D,Answer all Questions,easy,objective,1
Which of the following is NOT a Business management skills:,Leadership,Budget/financial management,Athletic ability,Communication ,C,Answer all Questions,easy,objective,1
Which of the following is NOT among the entrepreneurial skills every entrepreneur should possess:,Business management skills,Communication and listening skills,Mastery of video games,Creative thinking skills,C,Answer all Questions,easy,objective,1
Which of the following is NOT a critical and creative thinking skills:,Brainstorming,Research,Imitation,evaluation,C,Answer all Questions,easy,objective,1
Which of the following is NOT a way to develop entrepreneurial skills: ,Define your goals,Learn,Be adaptable ,Ignore hard work ,D,Answer all Questions,easy,objective,1
An individual can develop entrepreneurial skills through all the following EXCEPT:,Training,Practice,Personal Experiences,Luck,D,Answer all Questions,easy,objective,1
